@relation tashkis hadese-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 {1,2,}

@data
3.8607,-3.6564,1
4.4608,-4.2657,1
3.9271,-3.7096,1
1.8712,-1.7368,1
6.2955,-6.2497,1
6.9871,-6.7782,1
4.754,-5.005,1
4.3237,-4.2836,1
3.4576,-3.5983,1
3.1472,-3.2695,1
2.8381,-2.7875,1
6.3421,-6.2882,1
4.4105,-4.1961,1
2.2297,-2.0936,1
5.6076,-5.5229,1
5.0001,-4.8766,1
5.6168,-5.4615,1
5.0797,-4.8047,1
4.4432,-4.6828,1
7.1387,-6.939,1
6.2551,-6.1363,1
1.3461,-1.235,1
4.3527,-4.5931,1
5.1168,-4.9403,1
1.8543,-1.8574,1
5.266,-5.0802,1
7.098,-6.9367,1
2.9966,-3.1999,1
6.8737,-6.6734,1
4.7363,-4.5914,1
7.4661,-7.3022,1
9.1864,-9.0084,1
1.9689,-1.9285,1
3.1723,-3.2514,1
5.5773,-5.4864,1
2.761,-2.7405,1
2.7883,-2.738,1
1.5734,-1.6028,1
3.6463,-3.6192,1
3.3601,-3.1269,1
7.7047,-7.4715,1
8.8922,-8.8625,1
4.1047,-4.0292,1
3.7897,-3.5799,1
7.9361,-7.7421,1
3.6677,-3.4799,1
1.899,-2.1629,1
4.6187,-4.5121,1
6.3449,-6.1623,1
4.6614,-4.708,1
6.6018,-6.4266,1
8.9725,-8.7663,1
4.6386,-4.3957,1
2.8845,-3.0337,1
7.7064,-7.4659,1
4.7412,-4.6308,1
5.7882,-5.5802,1
2.3847,-2.2296,1
0.16795,-0.17793,1
8.0391,-7.9611,1
-0.76832,0.78258,1
6.1775,-6.1519,1
3.3493,-3.4035,1
4.0739,-3.9018,1
6.8315,-6.661,1
9.3534,-9.3332,1
3.6186,-3.6157,1
5.289,-5.0537,1
2.011,-1.9719,1
2.2692,-2.3459,1
3.0288,-2.9932,1
1.5267,-1.7206,1
5.0286,-4.8182,1
3.2931,-3.1267,1
4.6604,-4.5559,1
3.8492,-3.6609,1
5.7448,-5.8781,1
8.1922,-8.0418,1
3.6577,-3.4672,1
1.2115,-1.3386,1
4.3596,-4.1422,1
4.2868,-4.0893,1
1.1517,-1.1473,1
3.4555,-3.2404,1
4.8164,-4.8724,1
4.0279,-3.8717,1
7.5496,-7.548,1
7.8214,-7.552,1
4.8987,-5.3111,1
8.9758,-8.7237,1
0.92763,-1.0281,1
3.3407,-3.0919,1
3.9681,-3.8558,1
5.5456,-5.3952,1
2.6259,-2.5935,1
5.4462,-5.3231,1
1.4436,-1.8229,1
0.0098568,0.065738,1
5.277,-5.2209,1
7.5418,-7.2984,1
3.9176,-3.7337,1
2.5737,-2.4627,1
6.6552,-6.4704,1
7.5371,-7.4352,1
2.9951,-2.8742,1
5.3681,-5.2432,1
5.6533,-5.4879,1
9.507,-9.2547,1
8.7535,-8.4899,1
1.2895,-1.4216,1
6.0339,-6.0267,1
1.7108,-1.6645,1
3.3329,-3.1694,1
4.93,-4.7522,1
5.5032,-5.3018,1
3.2058,-3.193,1
5.271,-5.0523,1
7.2272,-7.0499,1
4.6291,-4.7116,1
8.3681,-8.2395,1
5.5171,-5.3175,1
4.2633,-4.1588,1
4.0379,-4.0568,1
2.3414,-2.3401,1
2.7002,-2.6434,1
3.4614,-3.3121,1
4.1095,-4.0679,1
3.3236,-3.202,1
3.9896,-4.0319,1
7.146,-6.9154,1
4.6837,-4.6186,1
3.8106,-3.622,1
3.5047,-3.3627,1
-0.19501,0.14975,1
6.0967,-6.01,1
-2.2596,1.9528,1
7.0529,-7.0008,1
2.4165,-2.6999,1
1.5287,-1.6465,1
2.1251,-1.9551,1
4.5743,-4.7629,1
-1.1476,0.82006,1
2.7203,-2.5376,1
4.6755,-4.6646,1
3.7398,-3.5389,1
3.5155,-3.7043,1
4.7409,-4.6874,1
2.8917,-3.254,1
5.4399,-5.2907,1
6.1788,-6.0181,1
6.058,-5.8061,1
5.0569,-4.837,1
7.4677,-7.3573,1
1.6452,-1.4777,1
3.428,-3.4245,1
6.217,-6.0553,1
2.2703,-2.2729,1
1.8026,-1.8585,1
1.5196,-1.5718,1
3.6006,-3.6287,1
5.0025,-4.8117,1
2.6664,-2.4722,1
6.6444,-6.5031,1
2.9658,-2.8434,1
1.7092,-1.6869,1
3.3848,-3.2254,1
6.7779,-6.5953,1
5.6751,-5.6297,1
-0.07528,-0.14326,1
2.7643,-2.779,1
4.9009,-4.9146,1
3.2675,-3.212,1
5.261,-5.0826,1
4.1981,-4.0378,1
5.3633,-5.0825,1
4.5061,-4.4871,1
7.6585,-7.463,1
4.4995,-4.3152,1
3.8202,-3.891,1
2.6733,-2.8192,1
0.33368,-0.55945,1
5.0115,-4.9453,1
3.6938,-3.7521,1
6.9259,-6.6851,1
5.2866,-5.1754,1
4.1047,-3.9253,1
11.815,-11.649,1
3.8362,-3.6837,1
4.9937,-4.861,1
4.2338,-4.2062,1
0.85219,-0.80805,1
2.1731,-2.0728,1
5.5772,-5.4534,1
4.7745,-4.563,1
5.6684,-5.6328,1
4.4237,-4.2831,1
5.0973,-4.8433,1
4.889,-4.6515,1
4.4656,-4.3067,1
4.2292,-4.0049,1
3.178,-3.479,1
1.7519,-1.9935,1
5.9571,-5.6818,1
2.159,-1.9723,1
5.0218,-4.9434,1
4.509,-4.3226,1
